"Customer Compliance","Customer Compliance"
"Group Configs","Group Configs"
"Fields","Fields"
"Pending Verification","Pending Verification"
"Audit Log","Audit Log"
"Approve","Approve"
"Reject","Reject"
"Retry Refund","Retry Refund"
"Decision notes are required when rejecting an order.","Decision notes are required when rejecting an order."
"This order is not pending verification.","This order is not pending verification."
"This order cannot be shipped until compliance verification is approved.","This order cannot be shipped until compliance verification is approved."
"This order cannot be invoiced until compliance verification is approved.","This order cannot be invoiced until compliance verification is approved."
"All caught up! There are no orders awaiting verification.","All caught up! There are no orders awaiting verification."
"No fields configured for this group. Add a field to get started.","No fields configured for this group. Add a field to get started."
"You have not uploaded any compliance documents yet.","You have not uploaded any compliance documents yet."
"Document not found.","Document not found."
"At least one option is required for this field type.","At least one option is required for this field type."
"Text","Text"
"Text Area","Text Area"
"Number","Number"
"Email","Email"
"Phone","Phone"
"Date","Date"
"Dropdown","Dropdown"
"Radio Button","Radio Button"
"Checkbox","Checkbox"
"File Upload","File Upload"
"Image Upload","Image Upload"
"Label","Label"
"Field Type","Field Type"
"Required","Required"
"Sort Order","Sort Order"
"Status","Status"
"Submitted","Submitted"
"Actions","Actions"
"Actor","Actor"
"Action","Action"
"Entity Type","Entity Type"
"Notes","Notes"
"Save","Save"
"Cancel","Cancel"
"Delete","Delete"
"Add New Field","Add New Field"
"Add New Group Config","Add New Group Config"
"Are you sure you want to delete this record?","Are you sure you want to delete this record?"
"Something went wrong while saving the data.","Something went wrong while saving the data."
"The record has been saved.","The record has been saved."
"The record has been deleted.","The record has been deleted."
"Customer Group","Customer Group"
"Decision Notes","Decision Notes"
"Refund Status","Refund Status"
