"Batch Inventory","Batch Inventory"
"Batch Number","Batch Number"
"Expiry Date","Expiry Date"
"Received Qty","Received Qty"
"Remaining Qty","Remaining Qty"
"Source Code","Source Code"
"Active Status","Active Status"
"Created At","Created At"
"Updated At","Updated At"
"Batch ID","Batch ID"
"Cannot save batch: remaining quantity cannot exceed received quantity.","Cannot save batch: remaining quantity cannot exceed received quantity."
"A batch with number ""%1"" already exists for SKU ""%2"" and source ""%3"".","A batch with number ""%1"" already exists for SKU ""%2"" and source ""%3""."
"Batch with ID ""%1"" does not exist.","Batch with ID ""%1"" does not exist."
"Batch with number ""%1"" for SKU ""%2"" in source ""%3"" does not exist.","Batch with number ""%1"" for SKU ""%2"" in source ""%3"" does not exist."
"Could not delete batch: %1","Could not delete batch: %1"
"Cannot delete batch ""%1"": it has recorded inventory transactions. Deactivate it instead.","Cannot delete batch ""%1"": it has recorded inventory transactions. Deactivate it instead."
"No batch inventory configured for SKU ""%1"".","No batch inventory configured for SKU ""%1""."
"No usable batch stock for SKU ""%1"": %2 unit(s) exist across %3 batch(es) but all are expired.","No usable batch stock for SKU ""%1"": %2 unit(s) exist across %3 batch(es) but all are expired."
"Insufficient batch stock for SKU ""%1"": requested %2, available %3.","Insufficient batch stock for SKU ""%1"": requested %2, available %3."
"Unable to record batch deduction for SKU ""%1"": %2","Unable to record batch deduction for SKU ""%1"": %2"
"Could not write batch transaction record: %1","Could not write batch transaction record: %1"
"Could not save batch: %1","Could not save batch: %1"
"Batch saved successfully.","Batch saved successfully."
"The batch does not exist.","The batch does not exist."
"An error occurred while saving the batch.","An error occurred while saving the batch."
"Edit Batch %1","Edit Batch %1"
"New Batch","New Batch"
"Batch Number is required.","Batch Number is required."
"Batch Number cannot exceed %1 characters.","Batch Number cannot exceed %1 characters."
"Expiry Date is required and must be a valid date.","Expiry Date is required and must be a valid date."
"Received Qty cannot be negative.","Received Qty cannot be negative."
"Remaining Qty cannot be negative.","Remaining Qty cannot be negative."
"Remaining Qty cannot exceed Received Qty.","Remaining Qty cannot exceed Received Qty."
"""sku"" is required.","""sku"" is required."
"Source is required.","Source is required."
"Source ""%1"" does not exist.","Source ""%1"" does not exist."
